pc4,buurt_key,address_count
3352,05900201,993
3353,05900301,1184
3354,05900401,972
3355,05900502,1028
3356,05900601,816
3361,06100211,791
3362,06100302,1225
3363,06100101,865
3364,06100403,251
3366,19782002,173
3371,05230202,1429
3372,05230301,782
3373,05230403,351
3381,19780402,1122
3401,03530026,1060
3402,03530008,1357
3403,03530025,781
3404,03530019,949
3405,03310010,975
3411,03310000,2274
3412,03310003,181
3413,03310004,109
3415,03310020,251
3417,03350000,2536
3421,05890201,1319
3425,05890401,262
3431,03562400,2500
3432,03561002,1510
3433,03561301,1116
3434,03561600,904
3435,03560503,1053
3436,03560303,1097
3437,03560401,1447
3438,03560202,1244
3439,03562500,912
3441,06320101,1347
3442,06320102,1679
3443,06320106,2508
3444,06320501,56
3445,06320104,2043
3446,06320303,2638
3447,06320301,380
3448,06320202,2303
3449,06320201,245
3451,03441013,3497
3452,03441022,2054
3453,03441024,3397
3454,03441032,2682
3455,03441012,151
3461,03350100,1510
3464,05890302,71
3465,19010602,648
3466,19010702,513
3467,05890101,168
3471,06320701,1063
3474,06320801,729
3481,06320602,1850
3511,03440613,1240
3512,03440611,925
3513,03440211,1934
3514,03440411,1284
3515,03440412,1123
3521,03440811,2244
3522,03440812,3553
3523,03440721,2259
3524,03440712,3349
3525,03440733,1502
3526,03440831,4351
3527,03440832,3875
3528,03440953,144
3531,03440123,1674
3532,03440131,2289
3533,03440112,1428
3534,03440132,1670
3541,03440931,3779
3542,03440133,585
3543,03440913,2589
3544,03440921,2447
3545,03440951,1315
3546,03441041,65
3551,03440223,2009
3552,03440222,2082
3553,03440232,1714
3554,03440242,1588
3555,03440233,1627
3561,03440311,2229
3562,03440321,2508
3563,03440331,2420
3564,03440341,2527
3565,03440333,378
3566,03440343,86
3571,03440421,2478
3572,03440433,2410
3573,03440423,2164
3581,03440512,1938
3582,03440523,1331
3583,03440531,1455
3584,03440533,2613
3585,03440526,66
3601,19040106,910
3602,19040105,1104
3603,19040110,520
3604,19040104,553
3605,19041214,825
3606,19041201,765
3607,19041206,1029
3608,19041209,696
3611,19041101,235
3612,19040701,320
3615,03100101,390
3621,19040207,1727
3625,16960500,106
3626,19040402,177
3628,19040505,637
3631,19040905,95
3632,19040307,694
3633,19040603,699
3634,19041003,148
3641,07360104,1603
3642,07360103,1274
3643,07360102,571
3645,07360402,2083
3646,07360502,144
3648,07360602,1973
3651,05690513,46
3652,05690512,227
3653,05690512,9
3701,03550101,2054
3702,03550103,1506
3703,03550301,1209
3704,03550305,1093
3705,03550201,1503
3706,03550205,2288
3707,03550104,1338
3708,03550402,1246
3709,03550404,61
3711,03550406,763
3712,03550508,701
3721,03100802,2724
3722,03100701,1821
3723,03100505,2297
3731,03100901,2202
3732,03101001,1968
3734,03550506,972
3735,03550503,493
3737,03100401,500
3738,03100301,1956
3739,03100201,464
3741,03080101,924
3742,03080005,1212
3743,03080000,566
3744,03080401,295
3749,03080500,99
3751,03130002,1229
3752,03130006,1420
3754,03130003,270
3755,03170217,1857
3761,03420103,1991
3762,03420201,1630
3763,03420304,829
3764,03420402,1430
3765,03420501,2074
